ID,dept,k,s,available
1,AC,1,1,0
1,AC,1,2,0
1,AC,1,3,0
1,AC,1,4,0
1,AC,1,5,0
1,AC,1,6,0
1,AC,1,7,0
1,AC,1,8,0
1,AC,1,9,0
1,AC,1,10,0
1,AC,2,1,0
1,AC,2,2,0
1,AC,2,3,0
1,AC,2,4,0
1,AC,2,5,0
1,AC,2,6,0
1,AC,2,7,0
1,AC,2,8,0
1,AC,2,9,0
1,AC,2,10,0
1,AC,2,11,0
1,AC,2,12,0
1,AC,2,13,0
1,AC,2,14,0
1,AC,2,15,0
1,AC,2,16,0
1,AC,2,17,0
1,AC,2,18,0
1,AC,2,19,0
1,AC,2,20,0
1,AC,2,21,0
1,AC,2,22,0
1,AC,2,23,0
1,AC,2,24,0
1,AC,2,25,0
1,AC,2,26,0
1,AC,2,27,0
1,AC,2,28,0
1,AC,2,29,0
1,AC,2,30,0
1,AC,2,31,0
1,AC,2,32,0
1,AC,2,33,0
1,AC,2,34,0
1,AC,2,35,0
1,AC,2,36,0
1,AC,3,1,0
1,AC,3,2,0
1,AC,3,3,0
1,AC,3,4,0
1,AC,3,5,0
1,AC,3,6,0
1,AC,3,7,0
1,AC,3,8,0
1,AC,3,9,0
1,AC,3,10,0
1,AC,3,11,0
1,AC,3,12,0
1,AC,3,13,0
1,AC,3,14,0
1,AC,3,15,0
1,AC,3,16,0
1,AC,3,17,0
1,AC,3,18,0
1,AC,3,19,0
1,AC,3,20,0
1,AC,3,21,0
1,AC,3,22,0
1,AC,3,23,0
1,AC,3,24,0
1,AC,3,25,0
1,AC,3,26,0
1,AC,3,27,0
1,AC,3,28,0
1,AC,4,1,0
1,AC,4,2,0
1,AC,4,3,0
1,AC,4,4,0
1,AC,4,5,0
1,AC,4,6,0
1,AC,4,7,0
1,AC,4,8,0
1,AC,4,9,0
1,AC,4,10,0
1,AC,4,11,0
1,AC,4,12,0
1,AC,4,13,0
1,AC,4,14,0
1,AC,4,15,0
1,AC,4,16,0
1,AC,4,17,0
1,AC,4,18,0
1,AC,4,19,0
1,AC,4,20,0
1,AC,4,21,0
1,AC,4,22,0
1,AC,4,23,0
1,AC,4,24,0
1,AC,4,25,0
1,AC,4,26,0
1,AC,4,27,0
